epochs,batch_size,hidden_dim,nodes,latent,activation,train_loss,val_loss
20,1000,2,500,7,ReLU,60.022:13.098:12.935:12.919:12.914:12.915:12.912:12.912:12.913:12.912:12.913:12.915:12.915:12.915:12.915:12.913:12.913:12.925:12.957:12.916,13.322:12.915:12.891:12.884:12.877:12.878:12.874:12.878:12.876:12.877:12.878:12.879:12.878:12.873:12.873:12.872:12.871:13.164:12.89:12.872
20,1000,2,500,7,SELU,5444.438:194.786:26.209:499.305:32.568:14.309:13.0:12.901:12.894:12.909:108.369:21.91:13.548:12.95:12.899:12.893:18.952:28.821:13.536:13.168,806.539:51.255:100.144:44.37:15.454:13.146:12.909:12.899:12.897:13.248:25.454:14.426:13.085:12.899:12.896:12.902:123.283:13.894:13.111:14.26
20,1000,2,500,10,ELU,948.712:37.662:40.13:16.93:13.21:12.926:12.9:13.847:33.573:13.555:12.947:12.899:12.982:18.833:13.163:13.238:14.974:12.969:12.901:16.561,97.328:15.291:23.173:13.256:12.997:12.89:12.888:44.969:14.968:13.052:12.894:12.883:14.853:14.088:12.939:17.565:13.074:12.9:12.889:14.327
20,1000,2,500,10,ReLU,64.813:13.167:12.929:12.906:12.902:12.906:12.907:12.907:12.906:12.904:12.904:12.904:12.908:12.905:12.904:12.906:12.92:12.908:12.904:12.901,13.517:12.948:12.902:12.892:12.897:12.9:12.897:12.901:12.9:12.898:12.899:12.9:12.899:12.896:12.894:12.898:12.901:12.895:12.893:12.894
20,1000,2,500,10,SELU,4907.109:140.163:21.967:185.347:27.33:13.911:12.987:12.921:12.915:12.915:12.916:12.912:12.912:12.913:12.912:13.498:425.555:55.362:15.97:13.171,355.113:42.107:15.593:40.395:16.296:13.012:12.884:12.877:12.882:12.875:12.873:12.875:12.874:12.873:12.872:69.055:154.872:21.237:13.538:12.925
20,1000,2,500,20,ELU,1327.263:41.828:52.68:15.288:13.088:12.921:12.906:32.01:14.401:23.156:13.808:12.968:12.905:21.151:13.608:15.847:14.081:15.289:13.097:12.936,120.852:20.095:22.079:13.433:12.935:12.89:12.892:16.702:13.703:17.605:13.101:12.9:12.905:15.148:13.032:13.147:13.006:13.564:12.965:13.081
20,1000,2,500,20,ReLU,66.895:13.203:12.913:12.891:12.886:12.881:12.878:12.882:12.88:12.878:12.877:12.879:12.881:12.879:12.874:12.875:12.877:12.874:12.877:12.873,13.803:13.001:12.943:12.941:12.932:12.929:12.928:12.929:12.938:12.919:12.924:12.925:12.923:12.923:12.926:12.927:12.926:12.923:12.924:12.922
20,1000,2,500,20,SELU,6717.961:200.532:69.566:15.949:60.088:103.481:15.672:62.154:45.394:15.079:13.097:12.977:135.424:31.251:14.316:13.06:12.942:28.548:16.964:13.382,538.946:194.085:18.941:13.754:785.205:18.658:13.415:70.302:19.61:13.494:12.92:13.029:86.343:15.16:13.112:12.921:12.923:13.351:14.753:12.936
20,1000,2,500,50,ELU,1213.767:38.892:15.056:39.244:14.129:13.065:40.697:14.033:13.036:13.181:23.524:17.241:13.104:12.908:12.895:15.361:15.806:13.07:15.417:14.297,79.689:17.527:15.21:18.095:13.135:16.524:15.901:13.279:13.093:15.923:21.715:13.644:12.935:12.909:12.908:28.038:13.469:13.024:15.812:13.215
20,1000,2,500,50,ReLU,89.167:13.59:13.036:12.966:12.948:12.945:12.936:12.933:12.935:12.929:12.926:12.923:12.926:12.92:12.92:12.921:12.918:12.956:12.931:12.92,14.58:13.127:12.971:12.95:12.949:12.931:12.922:12.926:12.923:12.924:12.919:12.918:12.911:12.912:12.907:12.911:12.909:12.935:12.917:12.913
